Mon May  3 09:17:31 2021    data/20210503-09:17:02-10-cprofile/pocket-client-0006.cprofile

         105930 function calls (102626 primitive calls) in 1.336 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.405    0.405 /usr/local/lib/python3.6/dist-packages/numpy/core/multiarray.py:7(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      281    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       77    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/tokenize.py:21(<module>)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.6/logging/__init__.py:251(__init__)
       52    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:895(__init__)
        1    0.000    0.000    0.005    0.005 /usr/local/lib/python3.6/dist-packages/numpy/core/defchararray.py:17(<module>)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:378(<listcomp>)
       33    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:419(_get_mixins_)
      383    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
  349/312    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
        7    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/ma/extras.py:10(<module>)
        9    0.000    0.000    0.000    0.000 {method 'send' of 'sysv_ipc.MessageQueue' objects}
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
        1    0.000    0.000    0.004    0.004 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:1(<module>)
      473    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      113    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:2446(extend_all)
      149    0.000    0.000    0.000    0.000 /usr/lib/python3.6/types.py:135(__get__)
      299    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       28    0.000    0.000    0.000    0.000 /usr/lib/python3.6/abc.py:135(<setcomp>)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       42    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:223(__init__)
      207    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:36(_is_sunder)
       42    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:828(fix_flags)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.6/socket.py:47(<module>)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       30    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/getlimits.py:25(_fr1)
      142    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.035    0.035 /usr/local/lib/python3.6/dist-packages/numpy/lib/__init__.py:13(<module>)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
      188    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
      170    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:780(find_spec)
       53    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:84(opengroup)
       14    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
      247    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.010    0.010 app.pocket.py:53(resize_image)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:857(<listcomp>)
       50    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_internal.py:781(_ufunc_doc_signature_formatter)
       15    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/arrayprint.py:461(wrapper)
        3    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.6/argparse.py:1235(__init__)
        9    0.000    0.000    0.001    0.000 /usr/lib/python3.6/json/__init__.py:302(loads)
       30    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/getlimits.py:17(_fr0)
      448    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       42    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      189    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      190    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:81(groups)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:464(_find_new_)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.6/inspect.py:27(<module>)
      102    0.000    0.000    0.001    0.000 /usr/lib/python3.6/re.py:169(match)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/ctypes/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/_iotools.py:229(NameValidator)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:839(_decompose)
        1    0.000    0.000    0.004    0.004 /usr/local/lib/python3.6/dist-packages/numpy/linalg/linalg.py:10(<module>)
       19    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_add_newdocs.py:6709(add_newdoc_for_scalar_type)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:376(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/opcode.py:37(<listcomp>)
       22    0.000    0.000    0.397    0.018 <frozen importlib._bootstrap_external>:919(create_module)
    42/28    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:414(_get_literal_prefix)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.6/os.py:664(__getitem__)
       81    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       15    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/arrayprint.py:1473(_array_str_implementation)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      208    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/json/decoder.py:334(decode)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/dis.py:416(Bytecode)
       44    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:138(get_object_signature)
       48    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:294(_class_escape)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ctypeslib.py:368(<dictcomp>)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.6/json/__init__.py:244(detect_encoding)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.6/json/encoder.py:182(encode)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.6/tokenize.py:137(_all_string_prefixes)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/hmac.py:4(<module>)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/logging/__init__.py:24(<module>)
       30    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/getlimits.py:40(<lambda>)
      410    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:135(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/threading.py:1158(Timer)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 /root/tfrpc/client/pocket_tf_if.py:43(write)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/core/_type_aliases.py:24(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/urllib/parse.py:28(<module>)
      119    0.000    0.000    0.000    0.000 /usr/lib/python3.6/collections/__init__.py:420(<genexpr>)
        1    0.000    0.000    0.000    0.000 /root/tfrpc/client/yolo_msgq.py:122(PocketMessageChannel)
        7    0.000    0.000    0.006    0.001 /usr/lib/python3.6/enum.py:604(_convert)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/random.py:38(<module>)
       26    0.000    0.000    0.000    0.000 /usr/lib/python3.6/os.py:742(encode)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/testing/_private/utils.py:4(<module>)
        1    0.000    0.000    0.006    0.006 /usr/local/lib/python3.6/dist-packages/numpy/lib/npyio.py:1(<module>)
       49    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_weakrefset.py:58(__iter__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/opcode.py:5(<module>)
        1    0.000    0.000    0.063    0.063 /root/tfrpc/client/yolo_msgq.py:233(conn)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/core/arrayprint.py:5(<module>)
       84    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:539(isstring)
      329    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
        1    0.000    0.000    0.092    0.092 /usr/local/lib/python3.6/dist-packages/numpy/core/shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_type_aliases.py:114(_add_aliases)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/pickle.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_string_helpers.py:9(<listcomp>)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(create_module)
        1    0.000    0.000    0.012    0.012 /usr/local/lib/python3.6/dist-packages/numpy/lib/index_tricks.py:1(<module>)
       90    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:131(strseq)
       42    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/os.py:44(<listcomp>)
      340    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:114(__prepare__)
      119    0.000    0.000    0.000    0.000 /usr/lib/python3.6/collections/__init__.py:422(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.368    0.368 /root/tfrpc/client/yolo_msgq.py:905(tf_keras_applications_MobileNetV2)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/json/encoder.py:2(<module>)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.6/dist-packages/numpy/lib/scimath.py:17(<module>)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.6/shutil.py:5(<module>)
       60    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:874(_power_of_two)
