Sun May  2 02:25:54 2021    pocket-client-0005.cprofile

         173839 function calls (168867 primitive calls) in 6.680 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/arrayprint.py:1466(_guarded_repr_or_str)
     1201    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {built-in method io.open}
  207/153    0.000    0.000    0.001    0.000 /usr/lib/python3.6/typing.py:336(_get_type_vars)
      390    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      506    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      551    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      341    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
       99    0.000    0.000    0.004    0.000 /usr/lib/python3.6/sre_compile.py:223(_compile_charset)
      616    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:13(ismethod)
      362    0.000    0.000    0.000    0.000 /usr/lib/python3.6/functools.py:74(wraps)
       69    0.000    0.000    0.000    0.000 /usr/lib/python3.6/typing.py:896(_no_slots_copy)
      304    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      527    0.000    0.000    0.001    0.000 {built-in method from_bytes}
      253    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       16    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/absl/logging/__init__.py:891(emit)
      335    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
    453/7    0.000    0.000    0.766    0.109 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  764/606    0.000    0.000    0.003    0.000 {built-in method builtins.issubclass}
     1216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      243    0.000    0.000    0.000    0.000 /usr/lib/python3.6/types.py:135(__get__)
       16    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       16    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/absl/logging/__init__.py:731(get_absl_log_prefix)
       52    0.000    0.000    0.001    0.000 /root/tfrpc/client/pocket_tf_if.py:204(__init__)
       43    0.000    0.000    0.025    0.001 /usr/lib/python3.6/sre_compile.py:557(compile)
       56    0.000    0.000    0.000    0.000 /usr/lib/python3.6/types.py:211(coroutine)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/six.py:21(<module>)
   127/99    0.000    0.000    0.001    0.000 /usr/lib/python3.6/typing.py:580(_subs_tree)
      612    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:41(iscode)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:21(<module>)
      346    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:28(_is_dunder)
      274    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/function_base.py:419(_needs_add_docstring)
  191/150    0.000    0.000    0.001    0.000 /usr/lib/python3.6/typing.py:553(_replace_arg)
      513    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:171(append)
       36    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/absl/flags/_helpers.py:108(get_calling_module_object_and_name)
      616    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:26(isfunction)
      228    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      655    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:248(match)
       31    0.000    0.000    0.003    0.000 /usr/lib/python3.6/typing.py:732(__new__)
      871    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       13    0.000    0.000    0.007    0.001 /usr/lib/python3.6/enum.py:366(_create_)
      142    0.000    0.000    0.013    0.000 /usr/lib/python3.6/typing.py:133(__new__)
      341    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       43    0.000    0.000    0.010    0.000 /usr/lib/python3.6/sre_parse.py:844(parse)
       65    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:419(_get_mixins_)
       43    0.000    0.000    0.002    0.000 /usr/lib/python3.6/sre_compile.py:482(_compile_info)
      107    0.000    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:797(__or__)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
      136    0.000    0.000    0.001    0.000 /usr/lib/python3.6/_weakrefset.py:58(__iter__)
      685    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_compat_pickle.py:9(<module>)
       36    0.000    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/absl/flags/_defines.py:109(DEFINE_flag)
        1    0.000    0.000    0.016    0.016 /usr/lib/python3.6/typing.py:1(<module>)
      265    0.000    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:20(_is_descriptor)
      304    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      454    0.000    0.000    0.000    0.000 /usr/lib/python3.6/typing.py:1089(__eq__)
      118    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.005    0.005 /usr/local/lib/python3.6/dist-packages/numpy/core/numerictypes.py:81(<module>)
      386    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:285(tell)
        1    0.000    0.000    0.014    0.014 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/contextlib.py:49(inner)
       40    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:140(formatargspec)
       67    0.000    0.000    2.737    0.041 /root/tfrpc/client/yolo_msgq.py:144(delegate_tf_data_slicing)
