Mon May  3 09:11:19 2021    data/20210503-09:10:54-5-cprofile/pocket-server-001.cprofile

         1388125 function calls (1322899 primitive calls) in 20.726 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      286    0.001    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:72(verify_matching_signatures)
      782    0.001    0.000    0.002    0.000 /usr/lib/python3.6/enum.py:353(__setattr__)
       23    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
     2492    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
      484    0.001    0.000    0.004    0.000 /usr/lib/python3.6/abc.py:135(<setcomp>)
        1    0.001    0.001    0.004    0.004 /usr/local/lib/python3.6/dist-packages/requests/packages.py:1(<module>)
     2209    0.001    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/google/protobuf/descriptor.py:524(__new__)
        1    0.001    0.001    0.018    0.018 /usr/local/lib/python3.6/dist-packages/scipy/__init__.py:58(<module>)
      206    0.001    0.000    0.108    0.001 /usr/lib/python3.6/sre_compile.py:557(compile)
     1715    0.001    0.000    0.002    0.000 <string>:12(__new__)
        1    0.001    0.001    0.138    0.138 tfrpc/server/yolo_pb2.py:4(<module>)
     2372    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:800(__init__)
    12168    0.001    0.000    0.001    0.000 /usr/lib/python3.6/inspect.py:2506(default)
      260    0.001    0.000    0.016    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/deprecation.py:308(deprecated_wrapper)
      316    0.001    0.000    0.030    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:166(decorator)
     2892    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:285(tell)
        1    0.001    0.001    0.001    0.001 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/saved_model/loader_impl.py:16(<module>)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      255    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_compile.py:378(<listcomp>)
      206    0.001    0.000    0.006    0.000 /usr/lib/python3.6/sre_compile.py:482(_compile_info)
     3102    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:171(append)
     2116    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:111(__init__)
     8173    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
      471    0.001    0.000    0.004    0.000 /usr/lib/python3.6/copy.py:66(copy)
       32    0.001    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/scipy/_lib/doccer.py:12(docformat)
     3311    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:159(__len__)
       23    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
        1    0.001    0.001    0.021    0.021 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/ops/gen_math_ops.py:5(<module>)
     8370    0.001    0.000    0.001    0.000 /usr/lib/python3.6/inspect.py:2514(kind)
      206    0.001    0.000    0.053    0.000 /usr/lib/python3.6/sre_parse.py:844(parse)
      433    0.001    0.000    0.001    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      105    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/gast/gast.py:7(_make_node)
     1291    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
      937    0.001    0.000    0.002    0.000 /usr/lib/python3.6/sre_compile.py:388(_simple)
     1330    0.001    0.000    0.001    0.000 /usr/lib/python3.6/functools.py:74(wraps)
      321    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
      335    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/pkg_resources/_vendor/pyparsing.py:1144(__init__)
       92    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/google/protobuf/internal/enum_type_wrapper.py:88(<listcomp>)
       60    0.001    0.000    0.002    0.000 /usr/lib/python3.6/enum.py:160(<setcomp>)
     8206    0.001    0.000    0.001    0.000 /usr/lib/python3.6/inspect.py:2510(annotation)
      703    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
      616    0.001    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:98(getargspec)
      479    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
      220    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/pkg_resources/_vendor/packaging/version.py:343(_cmpkey)
