Mon May  3 07:34:29 2021    data/20210503-07:34:09-10-cprofile/pocket-client-0002.cprofile

         105930 function calls (102626 primitive calls) in 1.673 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/unittest/runner.py:1(<module>)
      618    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:248(match)
       40    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:140(formatargspec)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:115(doc_note)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/histograms.py:3(<module>)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.6/re.py:184(sub)
      612    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:41(iscode)
      518    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:171(append)
      528    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:843(__enter__)
      616    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:26(isfunction)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.6/re.py:204(split)
        9    0.000    0.000    0.000    0.000 {built-in method io.open}
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.6/json/__init__.py:183(dumps)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.6/logging/__init__.py:1446(handle)
      118    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:388(_simple)
